"Event","Tag","Ticks"
0,CONV_2D,8639
1,DEPTHWISE_CONV_2D,5532
2,CONV_2D,5901
3,DEPTHWISE_CONV_2D,2762
4,CONV_2D,3241
5,DEPTHWISE_CONV_2D,5506
6,CONV_2D,3846
7,DEPTHWISE_CONV_2D,1372
8,CONV_2D,1931
9,DEPTHWISE_CONV_2D,2697
10,CONV_2D,2513
11,DEPTHWISE_CONV_2D,676
12,CONV_2D,1262
13,DEPTHWISE_CONV_2D,1298
14,CONV_2D,1844
15,DEPTHWISE_CONV_2D,1306
16,CONV_2D,1851
17,DEPTHWISE_CONV_2D,1309
18,CONV_2D,1852
19,DEPTHWISE_CONV_2D,1310
20,CONV_2D,1849
21,DEPTHWISE_CONV_2D,1309
22,CONV_2D,1843
23,DEPTHWISE_CONV_2D,329
24,CONV_2D,931
25,DEPTHWISE_CONV_2D,600
26,CONV_2D,1513
27,AVERAGE_POOL_2D,28
28,RESHAPE,1
29,FULLY_CONNECTED,5
30,SOFTMAX,2
