"Event","Tag","Ticks"
0,CONV_2D,9813
1,DEPTHWISE_CONV_2D,5543
2,CONV_2D,7134
3,DEPTHWISE_CONV_2D,2767
4,CONV_2D,4730
5,DEPTHWISE_CONV_2D,5507
6,CONV_2D,7055
7,DEPTHWISE_CONV_2D,1368
8,CONV_2D,3531
9,DEPTHWISE_CONV_2D,2700
10,CONV_2D,5837
11,DEPTHWISE_CONV_2D,676
12,CONV_2D,2917
13,DEPTHWISE_CONV_2D,1297
14,CONV_2D,5227
15,DEPTHWISE_CONV_2D,1306
16,CONV_2D,5233
17,DEPTHWISE_CONV_2D,1309
18,CONV_2D,5234
19,DEPTHWISE_CONV_2D,1310
20,CONV_2D,5232
21,DEPTHWISE_CONV_2D,1309
22,CONV_2D,5225
23,DEPTHWISE_CONV_2D,329
24,CONV_2D,2616
25,DEPTHWISE_CONV_2D,601
26,CONV_2D,4925
27,AVERAGE_POOL_2D,27
28,RESHAPE,2
29,FULLY_CONNECTED,5
30,SOFTMAX,3
