"Event","Tag","Ticks"
0,CONV_2D,8635
1,DEPTHWISE_CONV_2D,5533
2,CONV_2D,6520
3,DEPTHWISE_CONV_2D,2761
4,CONV_2D,4118
5,DEPTHWISE_CONV_2D,5507
6,CONV_2D,5869
7,DEPTHWISE_CONV_2D,1372
8,CONV_2D,2935
9,DEPTHWISE_CONV_2D,2698
10,CONV_2D,4668
11,DEPTHWISE_CONV_2D,676
12,CONV_2D,2332
13,DEPTHWISE_CONV_2D,1298
14,CONV_2D,4066
15,DEPTHWISE_CONV_2D,1306
16,CONV_2D,4070
17,DEPTHWISE_CONV_2D,1309
18,CONV_2D,4071
19,DEPTHWISE_CONV_2D,1311
20,CONV_2D,4069
21,DEPTHWISE_CONV_2D,1309
22,CONV_2D,4064
23,DEPTHWISE_CONV_2D,328
24,CONV_2D,2035
25,DEPTHWISE_CONV_2D,601
26,CONV_2D,3767
27,AVERAGE_POOL_2D,27
28,RESHAPE,1
29,FULLY_CONNECTED,6
30,SOFTMAX,2
