"Event","Tag","Ticks"
0,CONV_2D,9826
1,DEPTHWISE_CONV_2D,5557
2,CONV_2D,7145
3,DEPTHWISE_CONV_2D,2768
4,CONV_2D,4730
5,DEPTHWISE_CONV_2D,5508
6,CONV_2D,7048
7,DEPTHWISE_CONV_2D,1371
8,CONV_2D,3527
9,DEPTHWISE_CONV_2D,2699
10,CONV_2D,5835
11,DEPTHWISE_CONV_2D,677
12,CONV_2D,2917
13,DEPTHWISE_CONV_2D,1298
14,CONV_2D,5227
15,DEPTHWISE_CONV_2D,1306
16,CONV_2D,5234
17,DEPTHWISE_CONV_2D,1309
18,CONV_2D,5235
19,DEPTHWISE_CONV_2D,1311
20,CONV_2D,5232
21,DEPTHWISE_CONV_2D,1309
22,CONV_2D,5226
23,DEPTHWISE_CONV_2D,329
24,CONV_2D,2615
25,DEPTHWISE_CONV_2D,601
26,CONV_2D,4925
27,AVERAGE_POOL_2D,28
28,RESHAPE,2
29,FULLY_CONNECTED,5
30,SOFTMAX,2
