"Event","Tag","Ticks"
0,DEPTHWISE_CONV_2D,5443
1,DEPTHWISE_CONV_2D,5551
2,CONV_2D,5219
3,DEPTHWISE_CONV_2D,2762
4,CONV_2D,2790
5,DEPTHWISE_CONV_2D,5481
6,CONV_2D,3242
7,DEPTHWISE_CONV_2D,1366
8,CONV_2D,1616
9,DEPTHWISE_CONV_2D,2689
10,CONV_2D,2055
11,DEPTHWISE_CONV_2D,671
12,CONV_2D,1026
13,DEPTHWISE_CONV_2D,1292
14,CONV_2D,1461
15,DEPTHWISE_CONV_2D,1292
16,CONV_2D,1461
17,DEPTHWISE_CONV_2D,1295
18,CONV_2D,1461
19,DEPTHWISE_CONV_2D,1296
20,CONV_2D,1461
21,DEPTHWISE_CONV_2D,1295
22,CONV_2D,1461
23,DEPTHWISE_CONV_2D,325
24,CONV_2D,731
25,DEPTHWISE_CONV_2D,594
26,CONV_2D,1165
27,AVERAGE_POOL_2D,28
28,CONV_2D,2
29,RESHAPE,0
30,SOFTMAX,2
