"Event","Tag","Ticks"
0,DEPTHWISE_CONV_2D,5443
1,DEPTHWISE_CONV_2D,5551
2,CONV_2D,7234
3,DEPTHWISE_CONV_2D,2762
4,CONV_2D,4725
5,DEPTHWISE_CONV_2D,5481
6,CONV_2D,7055
7,DEPTHWISE_CONV_2D,1366
8,CONV_2D,3521
9,DEPTHWISE_CONV_2D,2690
10,CONV_2D,5834
11,DEPTHWISE_CONV_2D,671
12,CONV_2D,2916
13,DEPTHWISE_CONV_2D,1291
14,CONV_2D,5224
15,DEPTHWISE_CONV_2D,1292
16,CONV_2D,5223
17,DEPTHWISE_CONV_2D,1296
18,CONV_2D,5222
19,DEPTHWISE_CONV_2D,1296
20,CONV_2D,5222
21,DEPTHWISE_CONV_2D,1294
22,CONV_2D,5224
23,DEPTHWISE_CONV_2D,325
24,CONV_2D,2612
25,DEPTHWISE_CONV_2D,594
26,CONV_2D,4918
27,AVERAGE_POOL_2D,28
28,CONV_2D,5
29,RESHAPE,0
30,SOFTMAX,2
