"Event","Tag","Ticks"
0,CONV_2D,9826
1,DEPTHWISE_CONV_2D,5558
2,CONV_2D,7146
3,DEPTHWISE_CONV_2D,2768
4,CONV_2D,4729
5,DEPTHWISE_CONV_2D,5507
6,CONV_2D,7048
7,DEPTHWISE_CONV_2D,1371
8,CONV_2D,3527
9,DEPTHWISE_CONV_2D,2699
10,CONV_2D,5836
11,DEPTHWISE_CONV_2D,676
12,CONV_2D,2917
13,DEPTHWISE_CONV_2D,1297
14,CONV_2D,5227
15,DEPTHWISE_CONV_2D,1306
16,CONV_2D,5234
17,DEPTHWISE_CONV_2D,1310
18,CONV_2D,5234
19,DEPTHWISE_CONV_2D,1310
20,CONV_2D,5231
21,DEPTHWISE_CONV_2D,1309
22,CONV_2D,5225
23,DEPTHWISE_CONV_2D,328
24,CONV_2D,2616
25,DEPTHWISE_CONV_2D,601
26,CONV_2D,4926
27,AVERAGE_POOL_2D,27
28,RESHAPE,2
29,FULLY_CONNECTED,6
30,SOFTMAX,2
