"Event","Tag","Ticks"
0,CONV_2D,8658
1,DEPTHWISE_CONV_2D,5557
2,CONV_2D,5885
3,DEPTHWISE_CONV_2D,2768
4,CONV_2D,3236
5,DEPTHWISE_CONV_2D,5508
6,CONV_2D,3826
7,DEPTHWISE_CONV_2D,1371
8,CONV_2D,1916
9,DEPTHWISE_CONV_2D,2699
10,CONV_2D,2496
11,DEPTHWISE_CONV_2D,677
12,CONV_2D,1247
13,DEPTHWISE_CONV_2D,1298
14,CONV_2D,1830
15,DEPTHWISE_CONV_2D,1306
16,CONV_2D,1836
17,DEPTHWISE_CONV_2D,1310
18,CONV_2D,1837
19,DEPTHWISE_CONV_2D,1311
20,CONV_2D,1835
21,DEPTHWISE_CONV_2D,1309
22,CONV_2D,1828
23,DEPTHWISE_CONV_2D,329
24,CONV_2D,917
25,DEPTHWISE_CONV_2D,601
26,CONV_2D,1499
27,AVERAGE_POOL_2D,27
28,RESHAPE,1
29,FULLY_CONNECTED,6
30,SOFTMAX,2
