"Event","Tag","Ticks"
0,CONV_2D,8980
1,DEPTHWISE_CONV_2D,5558
2,CONV_2D,6532
3,DEPTHWISE_CONV_2D,2768
4,CONV_2D,3847
5,DEPTHWISE_CONV_2D,5508
6,CONV_2D,5013
7,DEPTHWISE_CONV_2D,1371
8,CONV_2D,2510
9,DEPTHWISE_CONV_2D,2699
10,CONV_2D,3667
11,DEPTHWISE_CONV_2D,676
12,CONV_2D,1831
13,DEPTHWISE_CONV_2D,1297
14,CONV_2D,2991
15,DEPTHWISE_CONV_2D,1307
16,CONV_2D,2997
17,DEPTHWISE_CONV_2D,1309
18,CONV_2D,2998
19,DEPTHWISE_CONV_2D,1311
20,CONV_2D,2996
21,DEPTHWISE_CONV_2D,1309
22,CONV_2D,2989
23,DEPTHWISE_CONV_2D,329
24,CONV_2D,1498
25,DEPTHWISE_CONV_2D,601
26,CONV_2D,2655
27,AVERAGE_POOL_2D,28
28,RESHAPE,2
29,FULLY_CONNECTED,5
30,SOFTMAX,2
