"Event","Tag","Ticks"
0,CONV_2D,8661
1,DEPTHWISE_CONV_2D,5557
2,CONV_2D,6518
3,DEPTHWISE_CONV_2D,2768
4,CONV_2D,4126
5,DEPTHWISE_CONV_2D,5508
6,CONV_2D,5865
7,DEPTHWISE_CONV_2D,1371
8,CONV_2D,2934
9,DEPTHWISE_CONV_2D,2699
10,CONV_2D,4666
11,DEPTHWISE_CONV_2D,677
12,CONV_2D,2332
13,DEPTHWISE_CONV_2D,1298
14,CONV_2D,4066
15,DEPTHWISE_CONV_2D,1306
16,CONV_2D,4071
17,DEPTHWISE_CONV_2D,1309
18,CONV_2D,4072
19,DEPTHWISE_CONV_2D,1311
20,CONV_2D,4069
21,DEPTHWISE_CONV_2D,1309
22,CONV_2D,4064
23,DEPTHWISE_CONV_2D,329
24,CONV_2D,2034
25,DEPTHWISE_CONV_2D,601
26,CONV_2D,3767
27,AVERAGE_POOL_2D,27
28,RESHAPE,2
29,FULLY_CONNECTED,6
30,SOFTMAX,2
